distance_km,poids_kg,heure,jour_semaine,conditions_meteo,niveau_trafic,temperature,visibilite,duree_minutes
242.989,27.23,23,1,0,0.001,16.9,8525,107.57
13.962,47.42,3,0,1,0.094,21.9,6398,35.43
30.414,145.76,15,6,2,0.251,6.0,1854,68.73
295.892,32.94,23,0,2,0.082,3.7,1627,198.73
130.917,59.07,1,5,0,0.035,27.4,8064,90.95
110.808,12.75,5,3,0,0.053,18.4,8071,61.77
137.421,30.83,3,3,0,0.071,31.3,8545,91.11
309.385,66.08,14,1,1,0.335,18.9,6647,487.75
24.448,185.25,0,1,0,0.046,22.5,9096,39.72
285.43,171.45,17,3,0,0.769,28.0,9459,792.35
5.494,181.61,16,6,0,0.262,32.7,8494,31.56
60.249,98.15,6,1,1,0.287,13.3,2732,134.34
188.048,33.01,8,6,0,0.79,15.7,8023,464.53
29.817,127.44,2,0,0,0.01,24.6,9649,33.92
384.297,121.01,23,1,2,0.05,1.1,971,304.17
288.406,57.51,16,6,0,0.187,18.5,9563,237.49
17.67,5.35,19,0,0,0.589,20.2,8503,92.95
5.356,82.65,8,4,0,0.024,21.4,9354,27.98
294.17,7.97,15,0,0,0.357,19.8,9233,350.96
471.755,184.94,5,1,0,0.093,20.4,8096,250.87
461.008,147.73,8,5,1,0.142,24.4,3453,356.24
223.866,48.52,21,0,0,0.189,23.0,9388,215.71
227.515,31.8,7,3,1,0.452,12.0,6328,435.61
330.551,31.42,11,6,0,0.221,32.5,8382,342.42
175.163,191.85,23,0,0,0.041,24.4,8630,109.59
395.137,146.18,11,1,0,0.349,25.0,8365,450.75
360.708,134.77,10,0,0,0.187,27.8,9746,340.79
23.691,176.71,3,3,1,0.071,22.1,2837,38.57
2.409,195.12,7,4,0,0.108,28.6,9008,25.23
479.857,183.63,19,6,0,0.896,30.2,8670,1478.17
371.332,104.94,0,0,3,0.003,18.1,1108,296.27
152.417,75.52,15,5,1,0.179,14.0,4323,167.76
352.856,78.41,19,6,0,0.556,32.7,8156,752.45
9.421,79.46,15,2,1,0.344,18.8,5336,49.51
9.986,55.08,10,3,0,0.309,20.1,8074,38.13
330.02,155.63,10,1,0,0.39,22.9,8891,385.74
236.197,169.32,1,1,1,0.04,10.8,3664,150.91
37.642,42.65,5,6,0,0.005,32.9,8728,36.62
25.242,97.11,17,5,3,0.087,24.3,3148,37.43
398.912,68.59,7,3,1,0.423,23.7,6330,791.2
26.848,90.36,22,0,0,0.099,15.9,8754,30.63
248.43,51.12,5,3,1,0.057,20.6,5446,170.71
24.384,120.1,23,5,0,0.027,34.6,8934,35.84
6.304,113.11,9,0,1,0.887,23.3,6665,67.29
31.323,163.89,9,6,0,0.682,34.4,8827,99.78
25.789,91.49,13,0,0,0.293,18.5,8442,56.56
26.971,120.52,11,5,0,0.197,34.0,8283,54.62
16.595,132.75,4,5,0,0.165,23.7,8061,46.14
27.224,86.89,8,0,1,0.715,15.7,5099,98.93
445.852,153.32,16,2,0,0.136,34.6,9536,361.38
23.711,154.65,16,2,0,0.35,15.8,8060,51.4
457.376,77.92,1,0,1,0.008,21.4,6127,269.28
51.723,189.07,12,4,0,0.088,28.0,8164,70.71
280.032,174.38,14,5,0,0.111,17.9,9494,206.71
24.154,78.21,1,5,3,0.259,28.3,3973,49.97
373.495,165.22,12,0,2,0.433,3.7,2964,856.08
38.827,39.77,14,1,0,0.294,17.7,9907,66.85
3.626,2.23,5,5,0,0.19,27.1,8000,17.91
186.168,93.6,17,4,3,0.022,20.6,1779,159.99
188.59,28.26,12,2,0,0.329,34.5,8193,247.58
422.72,79.73,17,0,3,0.734,28.6,4034,1368.51
32.915,107.3,5,0,0,0.097,20.2,9905,47.71
29.384,121.34,7,6,0,0.811,31.5,9791,95.33
13.87,114.53,14,5,0,0.163,30.7,9205,45.27
19.394,12.31,15,1,3,0.338,22.8,4307,75.78
25.352,65.65,5,0,2,0.034,4.8,1999,43.27
6.438,14.67,20,6,3,0.27,16.1,3337,24.29
148.201,124.73,17,2,1,0.859,23.0,3297,446.32
145.708,168.37,13,5,0,0.291,28.8,9039,186.25
3.108,16.89,11,3,0,0.343,25.2,9971,18.69
7.572,179.05,12,3,0,0.492,18.9,9575,53.54
370.928,132.77,14,3,0,0.245,24.8,9109,455.6
110.801,166.83,10,4,0,0.011,24.9,9535,76.57
149.242,10.47,8,0,0,0.897,32.4,9547,429.24
1.71,25.05,8,4,0,0.187,29.9,9745,17.27
32.701,58.9,20,1,0,0.322,17.7,9090,63.07
37.654,109.28,18,0,0,0.742,18.3,8163,119.73
37.828,77.88,18,1,0,0.747,26.8,9778,133.3
34.488,187.92,3,4,1,0.147,15.5,2210,61.08
395.581,57.53,8,1,0,0.46,21.1,9276,757.65
92.071,96.3,15,1,0,0.2,25.4,9443,101.76
12.099,21.59,10,1,0,0.286,29.6,8749,49.69
84.794,159.78,14,6,0,0.28,15.3,9271,125.71
56.188,70.84,14,3,0,0.409,34.0,8249,130.74
388.572,1.44,11,1,0,0.357,25.3,9142,389.13
236.95,11.77,10,6,1,0.184,17.6,5684,228.15
39.335,178.64,8,4,0,0.289,29.7,8864,60.29
38.341,182.11,2,6,0,0.014,34.7,8052,37.54
211.352,45.99,20,1,0,0.363,19.7,9316,242.69
13.927,6.85,6,5,0,0.205,26.1,8373,36.73
217.48,124.03,22,3,0,0.099,34.3,9413,129.48
108.864,1.37,11,6,0,0.376,29.8,8343,144.45
32.636,141.54,3,5,0,0.06,31.7,8258,46.62
0.821,18.06,7,3,0,0.676,18.2,9469,16.4
28.394,133.06,5,6,0,0.032,22.0,8950,34.38
473.383,65.15,19,0,0,0.771,30.5,9371,1264.43
2.597,173.82,22,3,3,0.069,24.7,1719,30.76
480.078,185.22,10,1,0,0.373,26.5,9160,547.44
17.37,65.46,18,0,0,0.472,19.7,9127,97.55
288.475,64.11,9,2,0,0.632,24.8,9320,590.77
10.262,4.01,10,2,1,0.318,18.7,6080,42.2
7.386,14.07,1,2,0,0.076,33.0,8959,13.71
416.05,27.74,17,4,0,0.203,18.0,9663,288.19
7.943,7.63,1,2,1,0.051,17.3,5814,15.32
364.278,74.5,16,2,0,0.377,27.7,8807,433.28
39.131,47.33,12,5,0,0.172,26.5,9626,66.61
8.797,145.62,2,0,1,0.073,19.6,3371,27.48
378.064,38.65,19,6,0,0.896,15.1,8851,1242.7
92.978,79.62,20,1,1,0.306,11.7,3289,116.87
383.17,17.94,3,3,0,0.004,17.6,8370,161.88
29.832,105.88,14,1,0,0.264,27.5,9494,63.05
26.2,133.06,9,6,0,0.541,18.0,9607,94.3
327.66,28.21,10,6,0,0.145,28.3,8275,253.84
38.723,144.34,2,6,1,0.057,19.8,3758,50.87
397.127,45.85,14,0,0,0.308,18.8,9915,512.89
37.69,177.63,4,0,0,0.042,24.6,8110,39.8
2.882,119.85,1,3,1,0.059,24.5,5532,25.12
13.118,190.59,5,6,1,0.071,19.5,2062,35.84
457.671,81.17,15,4,3,0.236,24.6,2509,483.36
33.818,189.16,8,3,1,0.401,12.1,4057,100.57
96.413,41.52,23,6,0,0.04,19.6,8920,48.11
32.587,134.07,14,0,0,0.232,15.6,9474,60.61
16.639,20.42,1,3,1,0.029,15.0,2391,35.1
8.264,3.58,13,1,0,0.307,32.2,9385,31.1
5.26,1.19,6,5,1,0.411,21.7,6972,15.79
76.309,117.07,16,1,1,0.117,20.5,5891,108.33
328.345,5.08,2,6,0,0.067,23.9,8994,175.41
37.688,13.68,22,4,1,0.095,22.9,4208,42.2
10.593,121.81,1,6,0,0.082,27.9,9224,33.89
131.385,118.1,21,0,1,0.131,15.7,6559,137.8
38.126,97.06,18,2,0,0.561,31.6,9560,137.87
36.523,199.13,14,6,0,0.279,29.2,9865,71.68
8.967,10.29,14,6,3,0.216,27.7,1432,42.13
37.27,187.31,2,1,0,0.057,29.0,9259,44.09
6.291,22.48,14,0,1,0.478,18.1,6814,48.9
179.892,27.73,3,3,3,0.093,28.3,3137,131.61
0.956,34.6,0,2,0,0.047,23.4,8655,15.59
4.114,129.63,2,1,0,0.059,25.0,9673,27.03
109.201,145.27,12,4,3,0.191,25.1,4473,178.52
23.449,22.59,13,0,0,0.253,26.0,8508,55.79
13.666,75.54,3,6,3,0.067,23.7,4518,38.11
424.14,75.33,17,1,1,0.627,24.0,5516,949.96
4.537,28.55,11,4,1,0.273,22.4,5331,48.25
28.019,45.67,1,3,0,0.015,20.2,8982,26.47
1.371,166.62,2,2,0,0.059,35.0,8231,20.1
499.346,174.64,22,3,0,0.041,19.3,9473,259.26
187.76,102.26,12,2,1,0.487,20.5,3356,304.09
441.599,139.43,8,0,1,0.77,16.2,2517,1204.99
28.158,118.95,18,6,0,0.878,15.8,9108,117.7
11.199,103.44,3,6,0,0.092,21.5,8378,35.12
287.666,160.97,7,5,3,0.093,20.9,3533,280.41
39.166,160.74,1,0,0,0.068,17.7,9226,48.56
28.031,76.36,22,0,0,0.042,16.4,8160,35.63
17.139,49.79,22,5,0,0.098,25.3,8532,34.89
26.415,114.52,4,2,0,0.005,26.6,8366,35.18
322.16,86.32,13,0,0,0.204,23.7,8331,364.48
30.373,68.05,0,4,0,0.096,34.1,9572,53.27
209.984,159.81,12,6,0,0.326,27.7,9577,250.55
24.525,45.86,1,0,0,0.086,28.5,8328,27.69
260.048,131.36,9,3,0,0.595,21.3,8137,531.51
15.214,194.49,16,6,3,0.398,23.0,3117,103.23
261.352,98.96,17,1,0,0.698,16.6,9183,598.5
32.176,89.28,22,3,1,0.073,22.8,5481,39.47
9.505,69.21,18,5,0,0.231,30.1,8098,42.6
476.074,35.05,4,0,0,0.05,28.9,8476,236.42
237.449,61.17,11,2,0,0.361,21.8,8298,235.5
37.419,196.95,9,6,0,0.889,30.3,9497,155.63
391.512,48.65,9,5,0,0.051,29.8,9002,299.59
417.038,179.56,11,5,0,0.254,25.9,9640,482.25
55.272,121.82,7,2,1,0.847,17.5,3186,227.08
36.873,140.03,20,5,0,0.119,16.4,9787,55.98
10.537,183.37,11,2,0,0.163,16.1,9088,35.64
140.024,140.94,17,0,0,0.855,28.7,9547,375.41
275.746,51.17,17,5,0,0.128,27.4,9186,218.9
357.676,12.28,10,3,0,0.131,17.7,8981,283.45
493.788,108.14,12,5,0,0.061,20.4,9852,443.69
9.912,158.49,4,0,2,0.092,4.6,2547,42.13
367.378,111.45,6,1,0,0.104,15.9,8239,361.26
217.532,86.85,3,0,3,0.087,22.6,3586,173.31
127.101,76.8,2,2,0,0.055,29.5,9838,84.89
20.658,9.57,15,2,0,0.265,30.0,9753,35.46
84.923,0.83,23,6,2,0.0,2.6,2155,56.92
214.427,166.83,10,0,3,0.301,15.7,2772,267.62
3.918,18.15,7,2,0,0.45,23.9,8663,37.25
255.94,104.61,0,2,1,0.02,21.4,5521,149.07
18.635,3.18,7,4,0,0.191,26.1,9838,48.82
399.531,14.62,0,2,1,0.008,16.4,4973,219.85
17.549,140.34,11,3,1,0.362,19.5,6729,74.79
390.084,196.08,18,2,3,0.568,29.1,4211,1103.75
103.466,59.43,19,1,1,0.446,11.4,6517,219.35
6.927,120.67,15,2,0,0.343,16.5,8109,34.33
33.021,69.39,9,2,0,0.618,31.7,8653,97.26
34.851,99.44,0,5,0,0.019,33.8,8101,46.59
8.845,27.29,15,1,0,0.198,33.4,9251,29.99
21.047,189.07,16,1,0,0.172,20.2,8926,47.5
211.645,96.35,1,6,0,0.075,26.2,9429,125.9
7.531,92.82,3,6,0,0.008,21.3,8875,25.33
22.996,40.0,1,3,0,0.068,23.6,8642,29.44
340.677,175.46,18,6,0,0.547,29.2,9431,581.54
34.676,82.48,4,4,0,0.035,34.1,9568,43.18
465.82,195.48,6,6,0,0.371,25.8,8436,485.76
24.626,44.43,5,0,0,0.088,20.9,9988,26.09
418.974,67.55,4,3,0,0.098,23.1,8559,256.89
155.631,59.99,17,4,0,0.095,21.1,8362,139.37
430.912,81.24,4,4,0,0.245,21.7,8912,352.98
38.456,31.98,18,1,1,0.567,10.1,2278,117.83
376.085,133.25,19,0,1,0.631,11.5,2682,978.07
363.913,89.09,12,0,0,0.207,18.5,9298,368.52
468.797,139.76,2,5,0,0.2,15.0,8169,470.8
44.865,172.0,22,0,0,0.086,17.2,8439,47.0
355.737,117.68,14,5,1,0.287,15.1,5588,412.79
37.265,141.69,18,5,0,0.2,15.6,8472,52.3
27.263,43.32,9,6,1,0.539,13.0,6742,94.06
170.737,14.49,9,5,0,0.297,16.9,8453,175.2
205.22,152.02,7,2,0,0.581,21.8,8093,409.43
222.98,85.75,17,0,0,0.639,22.7,8899,567.51
11.049,136.08,22,1,0,0.031,26.4,8591,37.4
30.471,169.32,10,2,0,0.349,18.2,8712,63.78
36.004,36.81,3,3,0,0.063,18.7,8125,37.36
4.262,3.15,1,4,0,0.419,32.9,8863,27.26
295.661,82.86,8,1,0,0.444,32.7,8238,539.75
480.536,184.71,14,2,1,0.363,24.9,6558,769.64
29.609,154.24,9,1,0,0.52,19.6,9726,101.42
21.066,15.64,14,3,1,0.333,20.4,3032,46.07
293.336,36.27,13,5,3,0.198,16.5,4257,478.99
0.669,73.27,3,3,0,0.021,17.2,8894,16.99
12.861,149.95,22,3,0,0.056,28.8,8781,40.91
32.428,120.81,6,0,0,0.146,22.5,9930,48.47
13.602,176.43,1,5,0,0.217,25.3,8344,42.59
37.102,195.88,4,5,3,0.146,15.9,1363,62.66
281.454,22.03,13,2,0,0.203,29.2,9435,346.55
37.516,139.21,7,6,0,0.58,29.3,9019,111.21
8.162,179.71,4,4,0,0.204,21.7,8096,41.01
37.429,88.05,14,2,0,0.361,26.7,9251,83.02
24.129,83.2,21,5,0,0.182,21.0,9771,40.17
161.288,168.45,23,4,1,0.045,11.0,5171,155.08
1.053,11.27,12,4,1,0.454,24.5,5421,15.13
78.692,102.48,12,2,0,0.434,21.1,8587,154.17
220.097,39.35,9,4,1,0.003,20.8,6649,150.02
35.342,23.58,9,1,0,0.469,30.7,9362,90.45
162.615,30.35,21,4,1,0.148,19.5,2321,148.83
9.984,62.3,22,0,0,0.026,26.4,8778,26.77
38.645,197.87,14,1,1,0.267,20.0,4987,91.32
33.461,169.68,16,3,0,0.18,22.5,9472,51.96
350.564,99.93,14,3,0,0.497,32.9,9633,549.42
240.83,112.91,8,3,0,0.651,29.6,9591,461.73
3.624,68.72,11,0,0,0.2,33.2,9172,31.97
16.264,28.6,11,4,0,0.055,21.0,8914,40.52
102.886,73.65,22,4,2,0.244,0.7,2076,147.68
112.41,83.15,3,2,1,0.006,23.3,3748,77.26
38.461,136.17,0,0,0,0.05,28.7,8249,41.36
245.452,183.24,17,2,0,0.885,19.2,9670,763.52
406.855,52.03,21,5,1,0.193,17.5,2921,454.98
442.644,164.09,7,3,0,0.6,17.6,8880,914.45
36.486,129.18,1,6,0,0.081,22.1,8312,40.91
60.99,5.16,4,3,1,0.019,12.7,3048,54.31
24.367,45.42,18,5,1,0.159,21.5,3782,40.4
25.086,70.28,4,4,1,0.056,12.6,2219,44.39
28.906,193.28,11,6,1,0.145,19.9,3746,63.77
317.559,34.94,9,2,1,0.513,20.4,3819,808.05
255.99,18.42,1,4,3,0.149,15.7,1767,241.59
1.059,25.02,12,0,0,0.494,31.9,9686,20.13
124.127,18.02,15,5,1,0.077,19.5,4147,95.62
483.519,196.43,4,1,3,0.011,28.8,3082,280.26
26.979,148.14,4,5,1,0.288,24.9,3508,50.06
26.416,180.05,7,6,1,0.522,21.9,5922,73.17
31.823,55.23,7,0,0,0.679,21.3,9754,116.74
31.103,34.99,21,0,0,0.169,20.7,8817,45.71
29.355,158.17,1,2,0,0.017,26.4,9636,32.61
30.774,134.68,10,3,0,0.127,26.4,9373,46.6
22.111,71.61,5,0,0,0.002,15.0,8280,39.06
5.87,132.36,4,2,0,0.075,19.0,8498,27.74
26.067,81.26,18,4,0,0.147,16.5,8873,42.43
350.477,5.76,10,5,0,0.143,25.6,9273,247.21
472.724,137.02,22,5,0,0.189,17.3,8187,348.82
13.727,46.71,4,0,0,0.084,26.7,8720,27.96
298.999,91.27,9,3,0,0.61,16.0,8287,605.16
23.11,118.66,9,0,0,0.574,19.0,9823,70.79
16.565,70.67,22,1,0,0.039,15.8,9513,38.71
300.099,71.68,18,5,0,0.208,21.4,8101,265.5
6.88,32.3,13,5,0,0.427,21.0,8160,34.62
16.042,184.53,13,5,0,0.226,21.0,8676,56.82
28.507,157.13,9,4,0,0.177,26.4,9235,46.77
9.443,176.2,13,2,0,0.397,30.2,9713,44.16
17.095,121.13,15,5,3,0.193,29.8,3740,65.0
498.945,152.07,14,1,0,0.344,18.5,9762,708.75
8.112,126.1,13,2,0,0.458,31.0,8270,48.94
37.192,29.76,19,1,0,0.849,31.5,8289,127.54
34.619,66.73,12,6,0,0.257,29.1,8802,77.59
32.343,184.55,19,1,3,0.495,18.9,2476,113.82
37.415,110.19,1,1,0,0.041,18.7,9697,37.82
10.972,41.66,3,0,0,0.058,28.3,9462,29.76
32.951,166.26,1,4,1,0.269,24.8,4570,64.01
81.248,132.57,15,3,1,0.111,11.0,4158,86.39
31.759,73.39,1,1,0,0.028,26.2,9933,39.68
131.526,26.78,4,4,1,0.12,10.1,2133,93.46
9.169,50.8,14,3,0,0.47,28.8,9372,49.27
320.449,69.54,10,1,1,0.163,10.8,4277,395.72
295.819,51.74,15,1,0,0.375,19.3,9467,264.89
412.37,159.45,0,0,0,0.066,18.3,8334,238.25
35.208,82.78,8,5,1,0.143,16.9,2832,56.26
470.429,36.66,8,0,0,0.668,27.8,8465,928.87
196.16,174.45,2,1,0,0.096,27.0,9643,107.86
373.365,29.57,7,3,0,0.785,18.8,9174,914.76
2.362,106.23,16,0,0,0.266,21.9,9409,27.38
34.275,172.6,15,2,0,0.168,31.0,9909,56.78
359.445,35.72,10,5,1,0.053,21.5,6046,266.88
1.348,171.45,4,1,0,0.032,18.5,9390,23.44
128.485,39.14,23,0,0,0.098,31.3,8414,92.18
20.589,116.06,10,0,0,0.103,15.4,8340,42.76
72.831,153.24,10,1,1,0.371,16.7,4108,155.67
9.71,37.08,15,3,0,0.208,18.4,9867,38.83
3.807,161.92,4,0,0,0.016,26.5,9899,26.05
2.161,118.32,10,6,0,0.231,26.6,8476,22.83
33.153,144.57,21,6,3,0.299,15.6,2544,65.67
142.596,107.71,1,0,0,0.022,25.7,9742,80.55
6.498,189.96,5,6,0,0.066,30.0,9047,27.68
39.662,59.66,0,0,1,0.054,11.6,4676,52.1
349.911,8.61,12,1,0,0.349,25.0,9909,402.06
333.391,56.43,12,5,0,0.131,29.9,9220,337.07
368.835,87.28,4,1,0,0.069,18.7,8625,222.71
19.681,102.26,18,6,1,0.707,23.0,2737,217.76
24.712,115.12,16,0,0,0.133,25.3,8407,44.35
117.322,0.53,0,2,3,0.054,26.2,3208,77.38
32.48,54.1,16,1,0,0.266,15.0,8727,68.42
68.726,90.28,17,5,0,0.131,31.5,9548,94.08
135.132,174.43,19,3,0,0.507,32.7,8417,300.05
289.472,162.28,12,1,0,0.366,17.1,8888,351.39
26.721,158.24,6,1,1,0.319,12.3,6428,62.86
13.352,187.59,23,5,0,0.148,34.1,8987,45.61
419.74,33.49,20,4,0,0.08,32.1,9665,267.23
20.375,22.22,18,3,0,0.671,25.7,8505,78.21
495.711,164.4,4,5,0,0.247,22.4,9952,434.88
18.205,61.68,16,4,0,0.098,34.0,8703,55.84
18.051,59.64,4,4,1,0.043,10.3,4196,52.9
16.156,4.42,0,4,1,0.106,16.9,6079,38.08
20.608,160.57,16,6,0,0.187,23.2,8496,40.55
89.136,76.23,18,4,0,0.238,20.8,8020,107.18
190.267,34.26,1,1,0,0.04,34.2,8080,111.86
10.48,104.06,7,0,0,0.495,25.8,9137,60.47
288.794,47.47,19,5,0,0.298,31.7,9522,299.18
15.137,2.64,0,1,0,0.076,21.9,8799,26.91
25.979,3.56,11,3,0,0.27,26.2,9571,38.29
2.546,152.26,23,0,0,0.041,25.6,8331,19.58
236.754,177.72,3,0,0,0.095,33.4,8620,156.96
17.167,180.49,12,6,3,0.243,17.5,4850,75.03
240.646,95.59,10,3,1,0.102,12.8,3481,245.14
12.638,180.16,9,4,0,0.179,30.7,8762,42.26
146.61,45.12,0,3,1,0.035,24.5,4354,106.1
5.545,37.05,2,6,0,0.024,29.3,8967,19.81
17.311,54.21,20,4,1,0.203,19.3,6552,55.34
28.656,62.59,12,0,3,0.335,19.9,2508,99.66
207.105,119.9,8,3,0,0.782,20.4,8471,460.25
376.834,22.52,14,0,0,0.494,21.0,9650,570.7
56.858,46.35,16,4,0,0.065,18.9,9085,70.76
490.985,85.48,1,4,0,0.244,25.7,8358,443.88
8.254,57.12,17,3,0,0.491,28.7,8641,54.74
262.01,161.17,16,0,0,0.207,26.3,8219,205.81
3.961,95.89,23,3,3,0.007,23.9,2628,26.83
329.388,86.06,10,0,0,0.109,26.5,9618,263.86
9.501,3.49,7,6,3,0.442,25.6,1670,56.34
29.577,102.97,16,2,0,0.301,33.8,9719,59.58
35.135,164.79,15,2,0,0.256,26.4,9544,64.11
23.56,146.25,19,5,1,0.09,22.7,2606,47.09
3.737,2.98,10,6,0,0.179,21.0,9977,17.88
113.543,198.98,16,0,0,0.109,29.5,9307,99.09
31.127,115.67,19,3,1,0.844,11.2,4757,183.79
33.914,166.7,14,3,0,0.368,22.4,8302,69.62
211.888,125.64,21,2,1,0.239,18.1,2169,258.06
29.904,24.46,7,6,0,0.829,15.2,9963,132.63
34.713,69.98,7,5,0,0.159,26.5,9413,54.69
35.233,59.94,22,3,0,0.093,16.4,8702,39.24
104.336,88.03,6,5,0,0.171,29.4,8821,97.06
39.029,195.32,13,0,0,0.4,34.1,8922,87.62
23.599,113.66,11,2,1,0.218,11.7,5111,41.48
18.549,171.07,17,4,0,0.123,30.3,8774,50.82
32.386,51.36,22,5,0,0.187,15.7,8214,53.65
332.014,59.99,8,0,3,0.68,29.5,1153,994.87
19.721,41.79,4,6,0,0.026,17.0,9297,38.96
1.354,82.41,1,3,0,0.086,20.2,9548,26.14
302.047,34.71,17,6,1,0.535,24.1,6170,784.49
287.313,178.56,4,6,0,0.02,24.1,9819,137.72
5.233,21.22,12,6,1,0.484,14.1,2287,35.36
26.25,71.89,16,1,1,0.235,13.2,4326,51.99
326.437,22.63,11,1,0,0.391,27.7,8858,370.98
10.848,131.08,5,6,1,0.036,23.4,2285,36.65
2.736,138.06,22,4,1,0.135,14.1,6628,28.48
182.401,190.95,4,1,1,0.073,18.2,5814,119.61
37.365,81.43,5,1,0,0.03,34.8,9724,44.48
17.059,21.67,19,0,0,0.616,21.1,9076,92.81
16.275,138.92,5,0,3,0.034,17.3,1143,43.01
16.666,108.79,0,0,0,0.003,24.5,8641,39.48
484.221,5.3,14,1,0,0.434,16.8,9541,643.93
29.858,94.58,2,5,0,0.007,17.9,8245,45.42
382.001,158.49,15,0,0,0.121,25.9,9975,258.92
9.411,60.38,4,1,0,0.002,16.9,8813,32.91
105.281,146.54,21,5,0,0.247,20.4,9519,97.08
25.841,70.69,3,1,3,0.06,22.1,1323,45.58
164.36,69.05,22,2,0,0.004,22.0,8782,105.62
81.823,161.1,17,3,2,0.842,5.0,2984,358.31
276.3,84.32,6,3,0,0.25,16.2,8019,285.59
489.154,195.35,3,4,0,0.17,20.8,9733,383.05
29.181,105.86,6,3,0,0.35,29.6,8261,58.12
38.048,100.88,3,1,0,0.027,25.6,8652,44.6
7.077,148.72,15,5,3,0.164,17.2,1059,32.34
31.835,148.78,12,3,0,0.201,17.2,8009,65.36
10.459,81.3,0,0,0,0.038,32.1,8189,34.82
381.396,116.44,17,6,0,0.709,24.2,9467,990.17
39.565,190.2,17,3,0,0.42,20.2,8501,126.97
17.665,178.07,23,6,0,0.01,23.9,9903,37.16
15.091,51.9,16,1,1,0.105,24.4,4531,55.31
167.758,82.28,14,2,0,0.275,26.5,9223,222.15
6.357,10.83,1,4,0,0.008,32.6,9476,19.55
9.288,89.4,9,0,0,0.417,32.8,8288,65.83
456.224,93.57,11,5,3,0.067,21.2,1654,458.61
477.192,110.38,10,0,0,0.121,28.7,9921,433.71
11.831,173.27,12,0,1,0.217,10.9,6928,47.89
1.67,144.71,23,1,0,0.074,33.1,9162,19.93
26.367,52.97,17,5,0,0.131,25.0,8879,48.42
15.583,9.3,9,5,0,0.126,17.9,8900,34.54
89.253,17.71,7,0,0,0.713,29.4,9635,239.71
17.163,98.28,13,4,0,0.03,33.8,9550,55.56
18.396,0.86,12,6,0,0.305,31.2,9914,61.85
325.845,88.44,13,6,0,0.281,25.2,9729,432.42
305.963,127.86,11,0,0,0.342,34.5,8222,373.32
11.239,41.97,1,2,1,0.095,23.2,5099,33.23
318.117,150.27,5,2,0,0.097,30.7,8035,186.39
28.555,98.66,6,4,0,0.075,25.6,8949,35.87
23.677,57.57,16,6,0,0.183,16.3,9058,43.35
33.946,163.33,1,1,0,0.031,31.3,8759,43.26
34.596,23.78,12,0,0,0.327,29.9,9081,58.38
2.588,11.78,5,0,2,0.083,0.0,2935,12.98
11.403,187.68,6,2,3,0.325,22.1,1478,56.99
30.094,176.94,12,1,1,0.278,24.1,2417,68.99
21.193,173.48,0,5,0,0.102,19.1,8896,32.8
34.756,88.78,23,0,0,0.076,30.6,9226,45.13
1.586,138.08,3,6,0,0.013,34.5,8316,23.24
31.108,107.14,15,2,1,0.132,10.6,5434,46.89
29.05,109.85,11,3,1,0.177,17.5,2120,52.39
38.826,24.4,18,0,1,0.823,15.8,5132,187.66
353.831,71.37,13,4,0,0.295,19.9,9740,419.58
5.06,81.37,9,6,0,0.864,16.5,8983,59.41
338.438,153.39,5,2,1,0.087,20.5,2921,215.56
36.559,147.74,19,6,1,0.423,22.2,4591,143.71
391.279,142.89,12,5,0,0.069,29.3,8501,323.34
1.175,23.79,8,3,0,0.645,30.4,8318,21.89
187.226,49.43,10,2,1,0.331,23.7,2910,234.39
22.73,101.39,10,2,0,0.292,22.5,9922,48.64
15.642,30.79,9,3,1,0.611,22.6,5029,105.35
33.163,92.82,11,3,1,0.292,21.3,5937,71.37
13.063,195.74,16,0,1,0.352,23.3,4428,60.76
13.627,154.14,12,5,0,0.135,34.6,9829,57.36
17.43,27.31,14,5,1,0.02,20.2,3178,35.52
16.994,27.76,19,1,0,0.652,25.6,9478,92.55
406.772,103.45,16,3,0,0.308,19.7,8117,426.26
33.453,154.42,15,1,0,0.371,29.8,9959,69.54
184.564,136.39,23,2,0,0.05,16.2,8970,104.25
28.326,5.62,16,2,0,0.358,18.6,8430,44.78
28.394,35.17,20,1,0,0.351,17.1,8153,44.23
6.993,155.91,5,4,1,0.276,15.6,4367,31.24
424.351,191.08,0,1,0,0.003,31.1,8383,216.98
39.182,53.3,21,3,0,0.227,31.6,8124,66.22
48.89,43.29,2,3,3,0.034,21.7,4188,53.05
10.525,56.0,18,1,1,0.539,22.9,5609,97.61
9.281,112.61,23,3,1,0.035,14.9,2498,33.44
143.439,92.46,5,6,0,0.016,25.8,8178,91.63
177.294,154.5,13,0,0,0.336,23.6,8859,253.64
8.614,97.9,19,5,0,0.361,22.5,8927,41.57
30.053,198.74,13,6,1,0.414,12.5,6469,91.09
455.894,155.35,9,6,0,0.671,15.7,8530,948.54
38.306,49.53,5,0,3,0.081,18.7,1275,42.89
144.071,67.6,10,6,1,0.274,23.5,3851,181.56
326.94,151.04,7,1,1,0.482,14.4,4017,612.44
25.982,24.58,8,6,0,0.429,18.2,9187,74.87
321.395,123.0,1,0,0,0.02,34.3,8822,176.91
24.014,173.41,20,0,0,0.287,33.0,8700,49.5
28.268,20.06,11,1,1,0.182,11.9,5469,54.45
36.275,140.27,19,3,0,0.413,31.2,8468,96.4
11.109,174.92,8,0,0,0.577,29.1,8128,81.4
86.169,128.01,9,1,0,0.621,16.0,9743,185.61
